spa,por,rom,fra,ita,lat
maɡnanimo,mɐɡnɐ̃nimʊ,maɲanim,maɲanim,maɲanimo,maŋnanɪmʊm
<blank>,<blank>,pɔsɛsœʁ,pɔsɛsœʁ,possessore,pɔssɛssoːrɛm
peɾeɣɾinaɾ,peɾɨɡɹinaɹ,<blank>,<blank>,pereɡrinare,pɛrɛɡriːnaːriː
<blank>,<blank>,<blank>,<blank>,<blank>,pɔndʊs
suma,somɐ,sɔm,sɔm,somma,sʊmmam
<blank>,<blank>,<blank>,<blank>,vetritʃe,wiːtɪkɛm
pɾoβokaðoɾ,<blank>,pʁovokatœʁ,pʁovokatœʁ,provokatore,proːwɔkaːtoːrɛm
komfluɛnθja,kuŋflweɪŋsjɐ,kɔ̃flyɑ̃s,kɔ̃flyɑ̃s,konfluɛntsa,kɔnflʊɛntɪam
<blank>,mezaɾjʊ,<blank>,<blank>,<blank>,meːnsaːrɪʊm
boluntaɾjo,vulũŋtaɾjʊ,volɔ̃tɛʁ,volɔ̃tɛʁ,volontario,wɔlʊntaːrɪʊm
<blank>,<blank>,<blank>,<blank>,kampitʃɛllo,kampɪkɛllʊm
eɾuxine,ɐɨɾuʒitɐ,<blank>,<blank>,rudʒʒine,aɪruːɡɪnɛm
<blank>,<blank>,paʁaklɛ,paʁaklɛ,<blank>,parakleːtʊm
despaɾtiɾ,diʃpɐɾətiɹ,<blank>,<blank>,dispartire,dɪspartiːrɛ
<blank>,<blank>,disudʁ,disudʁ,<blank>,dɪssɔlwɛrɛ
<blank>,<blank>,<blank>,<blank>,okulato,ɔkʊlaːtʊm
aβispa,beʃpɐ,ɡɛp,ɡɛp,vɛspa,wɛspam
dominjo,duminjʊ,domɛn,domɛn,dominio,dɔmɪnɪʊm
eskaɾifikaɾ,ʃkɐɾifikaɹ,skaʁifje,skaʁifje,skarifikare,skarɪfɪkaːrɛ
reɪ,ʁeɪ,ʁwa,ʁwa,rɛ,reːɡɛm
animaliðad,ɐnimɐlidadɨ,animalite,animalite,animalita,anɪmaːlɪtaːtɛm
betun,betumɨ,bitym,bitym,bitume,bɪtuːmɛn
neɾβjo,neɾəvʊ,nɛʁ,nɛʁ,nɛrvo,nɛrwʊm
istmo,iʃtmʊ,ism,ism,istmo,ɪstʰmʊm
defensjon,dɨfeɪŋsɐ̃ʊ̃,<blank>,<blank>,difensione,deːfeːnsɪoːnɛm
pɾoɣɾama,pɹuɡɹɐ̃mɐ,pʁɔɡʁam,pʁɔɡʁam,proɡramma,prɔɡramma
nweɾa,nɔɾɐ,nyʁ,nyʁ,noura,nʊrʊm
<blank>,<blank>,<blank>,<blank>,kuratura,kuːraːtuːram
xuntuɾa,ʒũŋtuɾɐ,ʒwɛ̃tyʁ,ʒwɛ̃tyʁ,dʒuntura,juːŋktuːram
benθeɾ,veɪŋseɹ,vɛ̃kʁ,vɛ̃kʁ,vintʃere,wɪŋkɛrɛ
eβaŋxeljo,<blank>,<blank>,<blank>,<blank>,eːwaŋɡɛlɪʊm
pekoɾa,pɛkuɾɐ,<blank>,<blank>,pɛkora,pɛkʊs
kompunθjon,kumpũŋsɐ̃ʊ̃,kɔ̃pɔ̃ksjɔ̃,kɔ̃pɔ̃ksjɔ̃,kompuntsione,kɔmpʊŋktɪoːnɛm
enkantaɾ,eɪŋkɐ̃ŋtaɹ,ɑ̃ʃɑ̃te,ɑ̃ʃɑ̃te,inkantare,ɪŋkantaːrɛ
<blank>,<blank>,<blank>,<blank>,sutʃʃidere,sʊkkɪdɛrɛ
palpeβɾa,paʊpɨbɹɐ,popjɛʁ,popjɛʁ,palpebra,palpɛbram
lima,limɐ,lim,lim,lima,liːmam
koɾno,koɾənʊ,kɔʁn,kɔʁn,kɔrno,kɔrnʊm
eskoθeɾ,<blank>,<blank>,<blank>,<blank>,ɛkskɔkwɛrɛ
<blank>,<blank>,idʁaʁʒiʁ,idʁaʁʒiʁ,<blank>,hydrarɡyrʊm
pɾeokupaɾ,pɹiukupɐɹ,pʁeɔkype,pʁeɔkype,preokkupare,praɪɔkkʊpaːrɛ
aŋɡoxa,<blank>,<blank>,<blank>,anɡɔʃa,aŋɡʊstɪam
despondeɾ,<blank>,<blank>,<blank>,<blank>,deːspɔndeːrɛ
atɾio,atrjʊ,atʁiɔm,atʁiɔm,atrio,aːtrɪʊm
beta,bɛtɐ,<blank>,<blank>,vetta,wɪttam
kalβiɾ,kɑlviɹ,<blank>,<blank>,<blank>,kalwiː
naʊfɾaxjo,naʊfɹaʒjʊ,nofʁaʒ,nofʁaʒ,naufradʒo,naʊfraɡɪʊm
misθelaneo,<blank>,<blank>,<blank>,miʃellaneo,mɪskɛllaːnɛʊm
kombeɾtiɾ,kuŋvɨɾəteɹ,kɔ̃vɛʁtiʁ,kɔ̃vɛʁtiʁ,konvertire,kɔnwɛrtɛrɛ
<blank>,<blank>,<blank>,<blank>,interkludere,ɪntɛrkluːdɛrɛ
seɾeniðad,seɾɨnidadɨ,seʁenite,seʁenite,serenita,sɛreːnɪtaːtɛm
akθjon,ɐsɐ̃ʊ̃,aksjɔ̃,aksjɔ̃,atsione,aːktɪoːnɛm
rapptoɾ,<blank>,<blank>,<blank>,<blank>,raptoːrɛm
defekaθjon,dɨfɨkɐsɐ̃ʊ̃,defekasjɔ̃,defekasjɔ̃,defekatsione,deːfaɪkaːtɪoːnɛm
dekɾetal,dɨkɹɨtɑl,dekʁetal,dekʁetal,dekretale,deːkreːtaːlɛm
estɾofa,ʃtɹɔfɨ,stʁɔf,stʁɔf,strɔfa,strɔpʰam
fistuloso,fiʃtulozʊ,fistylø,fistylø,fistolozo,fɪstʊloːsʊm
santifikaɾ,sɐ̃ŋtifikaɹ,sɑ̃ktifje,sɑ̃ktifje,santifikare,saːŋktɪfɪkaːrɛ
eβasjon,evɐzɐ̃ʊ̃,evazjɔ̃,evazjɔ̃,evazione,eːwaːsɪoːnɛm
<blank>,<blank>,<blank>,<blank>,portɛndere,pɔrtɛndɛrɛ
detestaθjon,dɨtɨʃtɐsɐ̃ʊ̃,detɛstasjɔ̃,detɛstasjɔ̃,detestatsione,deːtɛstaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,pudʒilatore,pʊɡɪlaːtoːrɛm
eʊɾitmja,eʊɾitmiɐ,øʁitmi,øʁitmi,euritmia,ɛʊrhytʰmɪam
meðitaɾ,meditaɹ,medite,medite,meditare,mɛdɪtaːriː
θjeɾto,sɛɾətʊ,sɛʁtɛ̃,sɛʁtɛ̃,tʃɛrto,kɛrtʊm
milaɣɾo,milaɡɹɨ,miʁakl,miʁakl,mirakolo,miːraːkʊlʊm
feβɾeɾo,fevɨɾeɪɾʊ,fevʁie,fevʁie,febbraio,fɛbrʊaːrɪʊm
θentuɾjon,seɪŋtuɾiɐ̃ʊ̃,sɑ̃tyʁjɔ̃,sɑ̃tyʁjɔ̃,tʃenturione,kɛntʊrɪoːnɛm
sekɾeθjon,sɛkɹɨsɐ̃ʊ̃,sekʁesjɔ̃,sekʁesjɔ̃,sekretsione,seːkreːtɪoːnɛm
paʊsa,paʊzɐ,poz,poz,pauza,paʊsam
astɾonomiko,ɐʃtɹunomikʊ,astʁonomik,astʁonomik,astronɔmiko,astrɔnɔmɪkʊm
seso,sɛsʊ,si,si,sɛsso,sɛssʊm
posteɾo,pɔʃtɨɾʊ,pɔsteʁo,pɔsteʁo,postɛro,pɔstɛrʊm
delatoɾ,dɨlɐtoɹ,delatœʁ,delatœʁ,delatore,deːlaːtoːrɛm
weso,osʊ,ɔs,ɔs,ɔsso,oːs
ɡɾamatiko,ɡɹɐmatikʊ,ɡʁamatik,ɡʁamatik,ɡrammatiko,ɡrammatɪkʊm
<blank>,<blank>,ɡozje,ɡozje,ɡotsso,ɡɛʊsɪaːs
ɡɾaβe,ɡɹavɨ,ɡʁav,ɡʁav,ɡrave,ɡrawɛm
apopletiko,ɐpuplɛtikʊ,apɔplɛktik,apɔplɛktik,apoplɛttiko,apɔpleːktɪkʊm
<blank>,ɐdmiɾɐdoɹ,<blank>,<blank>,<blank>,admiːraːtoːrɛm
fekula,fɛkulɐ,fekyl,fekyl,fekola,faɪkʊlam
suðoɾ,suɔr,sudœʁ,sudœʁ,sudore,suːdoːrɛm
pɾopinkwiðad,pɹupiŋkidadɨ,<blank>,<blank>,propinkwita,prɔpɪŋkwɪtaːtɛm
asesoɾ,ɐsɨsoɹ,asɛsœʁ,asɛsœʁ,assessore,assɛssɔrɛm
entendeɾ,eɪŋteɪŋdeɹ,ɑ̃tɑ̃dʁ,ɑ̃tɑ̃dʁ,intɛndere,ɪntɛndɛrɛ
resurekθjon,ʁɨsuʁeɪsɐ̃ʊ̃,ʁezyʁɛksjɔ̃,ʁezyʁɛksjɔ̃,rezurretsione,rɛsʊrrɛktɪoːnɛm
feliθiðad,felisidadɨ,felisite,felisite,felitʃita,feːliːkɪtaːtɛm
<blank>,<blank>,imitatœʁ,imitatœʁ,<blank>,ɪmɪtaːtoːrɛm
binkulaɾ,viŋkulaɹ,<blank>,<blank>,vinkolare,wɪŋkʊlaːrɛ
beɾsifikaθjon,veɾəsifikɐsɐ̃ʊ̃,vɛʁsifikasjɔ̃,vɛʁsifikasjɔ̃,versifikatsione,wɛrsɪfɪkaːtɪoːnɛm
<blank>,munifikʊ,<blank>,<blank>,munifiko,muːnɪfɪkʊm
impeɾjo,impɛɾjʊ,ɑ̃piʁ,ɑ̃piʁ,impɛro,ɪmpɛrɪʊm
<blank>,kɹɨʃtaɹ,kʁute,kʁute,<blank>,krʊstaːrɛ
respektaɾ,ʁeʃpeɪtaɹ,ʁɛspɛkte,ʁɛspɛkte,rispettare,rɛspɛktaːrɛ
aβominaθjon,ɐbuminɐsɐ̃ʊ̃,abominasjɔ̃,abominasjɔ̃,abominatsione,aboːmɪnaːtɪoːnɛm
moɾteɾo,muɾəteɪɾʊ,mɔʁtje,mɔʁtje,mortaio,mɔrtaːrɪʊm
fɾatɾiθiðjo,fɹɐtɹisidiʊ,fʁatʁisid,fʁatʁisid,fratritʃidio,fraːtrɪkiːdɪʊm
<blank>,<blank>,<blank>,<blank>,skrittritʃe,skriːptriːkɛm
kometa,kumetɐ,komɛt,komɛt,kometa,kɔmeːtam
aβjekto,ɐbʒɛtʊ,abʒɛkt,abʒɛkt,abjetto,abɪɛktʊm
sumaɾjo,<blank>,sɔmɛʁ,sɔmɛʁ,<blank>,sʊmmaːrɪʊm
doθil,dɔsil,dosil,dosil,dɔtʃile,dɔkɪlɛm
pɾuɾito,pɹuɾidʊ,pʁyʁi,pʁyʁi,prurito,pruːriːtʊm
batiɾ,bɐteɹ,batʁ,batʁ,battere,battʊɛrɛ
imaxinaɾjo,imɐʒinaɾjʊ,imaʒinɛʁ,imaʒinɛʁ,immadʒinario,ɪmaːɡɪnaːrɪʊm
penetɾaɾ,penɛtɹɐɹ,penetʁe,penetʁe,<blank>,pɛnɛtraːrɛ
komfiɾmaθjon,kuŋfiɾəmɐsɐ̃ʊ̃,kɔ̃fiʁmasjɔ̃,kɔ̃fiʁmasjɔ̃,konfermatsione,koːnfɪrmaːtɪoːnɛm
iteɾaɾ,itɨɾaɹ,iteʁe,iteʁe,iterare,ɪtɛraːrɛ
<blank>,<blank>,<blank>,<blank>,koltritʃe,kʊlkɪtram
<blank>,<blank>,<blank>,<blank>,abradere,abraːdɛrɛ
eteɾniðad,etɨɾənidadɨ,etɛʁnite,etɛʁnite,eternita,aɪtɛrnɪtaːtɛm
beθinal,visinɑl,visinal,visinal,vitʃinale,wiːkiːnaːlɛm
pupilo,pupilʊ,pypij,pypij,pupillo,puːpɪllʊm
benditʃo,<blank>,bənwa,bənwa,benedetto,bɛnɛdɪktʊm
dilaθeɾaɾ,dilɐsɨɾaɹ,<blank>,<blank>,dilatʃerar,diːlakɛraːrɛ
alθjon,<blank>,alsjɔ̃,alsjɔ̃,<blank>,alkyɔnɛm
kwaðɾilateɾo,<blank>,kwadʁilatɛʁ,kwadʁilatɛʁ,kwadrilatero,kwadrɪlatɛrʊm
kuleβɾa,<blank>,kuløvʁ,kuløvʁ,<blank>,kɔlʊbram
falseðad,fɑlsidadɨ,foste,foste,falsita,falsɪtaːtɛm
peɾfiðja,peɾəfidjɐ,pɛʁfidi,pɛʁfidi,perfidia,pɛrfɪdɪam
miɾaɾ,miɾaɹ,miʁe,miʁe,mirare,miːraːriː
laɣuna,lɐɡoɐ,laɡyn,laɡyn,laɡuna,lakuːnam
oɾxia,ɔɾəʒiɐ,ɔʁʒi,ɔʁʒi,ɔrdʒa,ɔrɡɪam
beθa,<blank>,vɛs,vɛs,vetʃʃa,wɪkɪam
diskɾeθjon,diʃkɹɨsɐ̃ʊ̃,diskʁesjɔ̃,diskʁesjɔ̃,diskretsione,dɪskreːtɪoːnɛm
baɾðo,baɾədʊ,baʁd,baʁd,bardo,bardʊm
koʎexa,<blank>,<blank>,<blank>,kolekkio,kaʊlɪkʊlʊm
<blank>,dɨvutɐsɐ̃ʊ̃,<blank>,<blank>,<blank>,deːwoːtaːtɪoːnɛm
paɾonomasja,pɐɾunumazjɐ,paʁonomaz,paʁonomaz,paronomazia,parɔnɔmasɪam
poðɾiɾ,<blank>,puʁiʁ,puʁiʁ,putrire,pʊtrɛrɛ
<blank>,vapɐ,<blank>,<blank>,<blank>,wappam
peɾexil,peʁɨksil,pɛʁsil,pɛʁsil,pretssemolo,pɛtrɔsɛliːnʊm
lumbɾe,lumɨ,lymjɛʁ,lymjɛʁ,lume,luːmɛn
<blank>,faʁʊ,<blank>,<blank>,farro,farrɛʊm
pɾeklaɾo,<blank>,<blank>,<blank>,preklaro,praɪklaːrʊm
reθepptakulo,ʁesɨptakulʊ,ʁesɛptakl,ʁesɛptakl,ritʃettakolo,rɛkɛptaːkʊlʊm
<blank>,<blank>,<blank>,<blank>,diʃezo,deːskeːnsʊm
soɾθe,<blank>,suʁi,suʁi,sɔritʃe,soːrɪkɛm
<blank>ino,<blank>iɲʊ,<blank>in,<blank>in,<blank>iːno,<blank>iːnʊm
<blank>,<blank>,<blank>,<blank>,muliebre,mʊlɪɛbrɛm
fiɾme,fiɾəmɨ,fɛʁm,fɛʁm,fermo,fɪrmʊm
baso,vazʊ,<blank>,<blank>,vazo,waːsʊm
pɾomulɣaθjon,pɹumuwɡɐsɐ̃ʊ̃,pʁomylɡasjɔ̃,pʁomylɡasjɔ̃,promulɡatsione,proːmʊlɡaːtɪoːnɛm
resonaɾ,ʁɨsunaɹ,ʁezɔne,ʁezɔne,rizonare,rɛsɔnaːrɛ
<blank>,<blank>,<blank>,<blank>,dzɛfiro,zɛpʰyrʊm
refektoɾjo,ʁefeɪtɔɾjʊ,ʁefɛktwaʁ,ʁefɛktwaʁ,refettɔrio,rɛfɛktoːrɪʊm
depɾaβaɾ,dɨpɹɐvaɹ,depʁave,depʁave,depravare,deːpraːwaːrɛ
<blank>,ekwɐbilidadɨ,<blank>,<blank>,<blank>,aɪkwaːbɪlɪtaːtɛm
takto,tatʊ,takt,takt,tatto,taːktʊm
pɾoɣɾeso,pɹuɡɹɨsʊ,pʁɔɡʁɛ,pʁɔɡʁɛ,proɡrezo,proːɡrɛssʊm
loŋxinkiðad,luŋʒiŋkidadɨ,<blank>,<blank>,londʒinkwita,lɔŋɡɪŋkwɪtaːtɛm
<blank>,<blank>,<blank>,<blank>,nɔlo,naʊlʊm
<blank>,<blank>,kolɔ̃b,kolɔ̃b,kolombo,kɔlʊmbʊm
eksaspeɾaɾ,ezɐʃpɨɾaɹ,ɛɡzaspeʁe,ɛɡzaspeʁe,ezasperare,ɛksaspɛraːrɛ
aspeɾo,aʃpɨɾʊ,aːpʁ,aːpʁ,aspro,aspɛrʊm
iɾasθiβle,<blank>,iʁasibl,iʁasibl,iraʃibile,iːraːskɪbɪlɛm
imfekθjon,iŋfɛsɐ̃ʊ̃,ɛ̃fɛksjɔ̃,ɛ̃fɛksjɔ̃,infetsione,ɪnfɛktɪoːnɛm
faθil,fasil,fasil,fasil,fatʃile,fakɪlɛm
eɣɾesaɾ,<blank>,<blank>,<blank>,<blank>,eːɡrɛdiː
<blank>,<blank>,<blank>,<blank>,<blank>,astrʊɛrɛ
keseɾo,keɪʒeɪɾʊ,kazje,kazje,kazaro,kaːsɛaːrɪʊm
kano,kɐ̃ʊ̃,<blank>,<blank>,kano,kaːnʊm
<blank>,iŋkɹɐsaɹ,<blank>,<blank>,<blank>,ɪŋkrassaːrɛ
empatʃaɾ,eɪmpɐʃaɹ,ɑ̃pɛʃe,ɑ̃pɛʃe,impedikare,ɪmpɛdɪkaːrɛ
inθiðiɾ,iŋsidiɹ,<blank>,<blank>,intʃidere,ɪŋkɪdɛrɛ
kopjoso,<blank>,kopjø,kopjø,kopiozo,koːpɪoːsʊm
eksklamaθjon,esklɐmɐsɐ̃ʊ̃,ɛksklamasjɔ̃,ɛksklamasjɔ̃,esklamatsione,ɛksklaːmaːtɪoːnɛm
<blank>,<blank>,loʁjo,loʁjo,<blank>,aʊrɛɔlʊm
<blank>,<blank>,fasin,fasin,<blank>,faskiːnam
melankolia,melɐ̃ŋkuliɐ,melɑ̃koli,melɑ̃koli,melankɔlia,mɛlaŋkʰɔlɪam
aɣlomeɾaɾ,ɐɡlumɨɾaɹ,<blank>,<blank>,aɡɡlomerare,aɡɡlɔmɛraːrɛ
rekoreɾ,ʁɨkuʁeɹ,<blank>,<blank>,<blank>,rɛkʊrrɛrɛ
pɾexwiθjo,pɹeʒuizʊ,pʁeʒydis,pʁeʒydis,predʒuditsio,praɪjuːdɪkɪʊm
oʎeɾo,ɔleɪɾʊ,<blank>,<blank>,<blank>,ɔllaːrɪʊm
intɾepiðo,iŋtɹɛpidʊ,ɛ̃tʁepid,ɛ̃tʁepid,intrɛpido,ɪntrɛpɪdʊm
kontenθjon,kuŋteɪŋsɐ̃ʊ̃,kɔ̃tɑ̃sjɔ̃,kɔ̃tɑ̃sjɔ̃,kontentsione,kɔntɛntɪoːnɛm
muɾo,muɾʊ,myʁ,myʁ,muro,muːrʊm
<blank>,<blank>,<blank>,<blank>,tameritʃe,tamarɪkɛm
konθeðeɾ,<blank>,kɔ̃sede,kɔ̃sede,kontʃedere,kɔŋkeːdɛrɛ
mataɾ,mɐtaɹ,<blank>,<blank>,mattare,maktaːrɛ
eskwaliðo,ʃkwɑlidʊ,skwalid,skwalid,<blank>,skwaːlɪdʊm
iluminaɾ,iluminaɹ,ilymine,ilymine,illuminare,ɪlluːmɪnaːrɛ
<blank>,ɐmeɪŋtaɹ,<blank>,<blank>,<blank>,aːmɛntaːrɛ
sandalja,sɐ̃ŋdɑljɐ,sɑ̃dal,sɑ̃dal,sandalo,sandalɪʊm
putɾiðo,putɹidʊ,pytʁid,pytʁid,putrido,pʊtrɪdʊm
<blank>,<blank>,<blank>,<blank>,trazɡressione,traːnsɡrɛssɪoːnɛm
aðapptaɾ,ɐdɐptaɹ,adapte,adapte,adattare,adaptaːrɛ
solitaɾjo,sulitaɾjʊ,solitɛʁ,solitɛʁ,solitario,soːlɪtaːrɪʊm
tiβja,tibjɐ,tibja,tibja,tibia,tiːbɪam
liɾon,<blank>,lwaʁ,lwaʁ,ɡiro,ɡliːrɛm
<blank>,ɐ̃ŋduɾiɲɐ,iʁɔ̃dɛl,iʁɔ̃dɛl,<blank>,hɪrʊndɪnɛm
diskutiɾ,diʃkutiɹ,diskyte,diskyte,diskutere,dɪskʊtɛrɛ
densaɾ,<blank>,<blank>,<blank>,densare,deːnsaːrɛ
litaɾ,litaɹ,<blank>,<blank>,<blank>,lɪtaːrɛ
fin,fiŋ,fɛ̃,fɛ̃,fine,fiːnɛm
θensuɾa,<blank>,sɑ̃syʁ,sɑ̃syʁ,<blank>,keːnsuːram
pekunjaɾjo,pekuniaɾjʊ,pekynjɛʁ,pekynjɛʁ,pekunjario,pɛkuːnɪaːrɪʊm
femuɾ,<blank>,femyʁ,femyʁ,fɛmore,fɛmʊr
toleɾaɾ,tulɨɾaɹ,toleʁe,toleʁe,tollerare,tɔlɛraːrɛ
diɾekθjon,diɾɨsɐ̃ʊ̃,diʁɛksjɔ̃,diʁɛksjɔ̃,diretsione,diːrɛktɪoːnɛm
pɾestiðixitaðoɾ,pɹeʃtidiʒitɐdoɹ,pʁɛstidiʒitatœʁ,pʁɛstidiʒitatœʁ,prestidʒatore,praɪstɪɡɪatoːrɛm
akomoðaɾ,ɐkumudaɹ,akɔmode,akɔmode,akkomodare,akkɔmmɔdaːrɛ
oɾnatʃo,<blank>,fuʁnɛz,fuʁnɛz,fornatʃe,fɔrnaːkɛm
nitɾoso,nitɹozʊ,nitʁø,nitʁø,nitrozo,nɪtroːsʊm
teða,<blank>,<blank>,<blank>,teda,taɪdam
θeɾβeθa,seɾəveʒɐ,sɛʁvwaz,sɛʁvwaz,tʃervodʒia,kɛrwɪsɪam
koxo,koʃʊ,<blank>,<blank>,<blank>,kɔksʊm
inteɾpɾetaɾ,iŋtɨɾəpɹɨtaɹ,ɛ̃tɛʁpʁete,ɛ̃tɛʁpʁete,interpretare,ɪntɛrprɛtaːrɛ
<blank>,vɛʒɨtʊ,<blank>,<blank>,vɛdʒeto,wɛɡɛtʊm
deðikaɾ,dɨdikaɹ,dedje,dedje,dedikare,deːdɪkaːrɛ
aβwela,aɪɐ,ajœl,ajœl,<blank>,awɪam
dɾamatiko,dɹɐmatikʊ,dʁamatik,dʁamatik,dramatiko,draːmatɪkʊm
resina,ʁezinɐ,ʁezin,ʁezin,rɛzina,rɛsiːnam
eksakθjon,<blank>,ɛɡzaksjɔ̃,ɛɡzaksjɔ̃,<blank>,ɛksaːktɪoːnɛm
xiɣante,ʒiɡɐ̃ŋtɨ,ʒeɑ̃,ʒeɑ̃,dʒiɡante,ɡɪɡantɛm
eliðiɾ,<blank>,elide,elide,elidere,eːliːdɛrɛ
<blank>,<blank>,ʁado,ʁado,<blank>,ratɛm
feɾoθiðad,feɾusidadɨ,feʁosite,feʁosite,ferotʃita,fɛroːkɪtaːtɛm
maniɾ,<blank>,manwaʁ,manwaʁ,rimanɛre,maneːrɛ
lexislaθjon,leʒiʒlɐsɐ̃ʊ̃,leʒislasjɔ̃,leʒislasjɔ̃,ledʒizlatsione,leːɡɪslaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,pannozo,pannoːsʊm
noβaɾ,<blank>,<blank>,<blank>,<blank>,nɔwaːrɛ
deklaɾaθjon,dɨklɐɾɐsɐ̃ʊ̃,deklaʁasjɔ̃,deklaʁasjɔ̃,dikjaɾatsione,deːklaːraːtɪoːnɛm
seβeɾo,<blank>,sevɛʁ,sevɛʁ,sevɛro,sɛweːrʊm
feɾtil,fɛɾətil,fɛʁtil,fɛʁtil,fɛrtile,fɛrtɪlɛm
diktamen,<blank>,diktamɛn,diktamɛn,<blank>,dɪktaːmɛn
eɾekθjon,eɾɨsɐ̃ʊ̃,eʁɛksjɔ̃,eʁɛksjɔ̃,eretsione,eːrɛktɪoːnɛm
okulto,ɔkuwtʊ,ɔkylt,ɔkylt,okkulto,ɔkkʊltʊm
<blank>kola,<blank>,<blank>,<blank>,<blank>,<blank>kɔlam
aβeʎana,ɐvɨlɐ̃,avlin,avlin,<blank>,abɛllanam
indulxɛnθja,iŋduwʒeɪŋsjɐ,ɛ̃dylʒɑ̃s,ɛ̃dylʒɑ̃s,induldʒɛntsa,ɪndʊlɡɛntɪam
okaɾ,<blank>,<blank>,<blank>,<blank>,ɔkkaːrɛ
aβitwal,ɐbituɑl,abityɛl,abityɛl,abituale,habɪtʊaːlɛm
teritoɾjal,teʁituɾiɑl,tɛʁitoʁjal,tɛʁitoʁjal,territoriale,tɛrrɪtoːrɪaːlɛm
<blank>,<blank>,<blank>,<blank>,forɛnse,fɔreːnsɛm
laθeɾaθjon,lɐsɨɾɐsɐ̃ʊ̃,laseʁasjɔ̃,laseʁasjɔ̃,latʃeratsione,lakɛraːtɪoːnɛm
paɾte,paɾətɨ,paʁ,paʁ,parte,partɛm
konduθiɾ,kuŋduziɹ,kɔ̃dyiʁ,kɔ̃dyiʁ,kondurre,kɔnduːkɛrɛ
ɡustaɾ,ɡuʃtaɹ,ɡute,ɡute,ɡustare,ɡʊstaːrɛ
tiβjo,tibjʊ,tjɛd,tjɛd,tjɛpido,tɛpɪdʊm
restaʊɾaθjon,ʁeʃtaʊɾɐsɐ̃ʊ̃,ʁɛstoʁasjɔ̃,ʁɛstoʁasjɔ̃,restauratsione,reːstaʊraːtɪoːnɛm
reβeɾβeɾaɾ,<blank>,ʁevɛʁbeʁe,ʁevɛʁbeʁe,<blank>,rɛwɛrbɛraːrɛ
leɣaθjon,leɡɐsɐ̃ʊ̃,leɡasjɔ̃,leɡasjɔ̃,leɡatsione,leːɡaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,<blank>,kaɪpaːrɪʊm
<blank>,<blank>,tami,tami,tamizo,tamɪsɪʊm
eβokaθjon,evukɐsɐ̃ʊ̃,evokasjɔ̃,evokasjɔ̃,evokatsione,eːwɔkaːtɪoːnɛm
<blank>,<blank>,<blank>vɔʁ,<blank>vɔʁ,<blank>vɔro,<blank>wɔrʊm
aðiɾ,<blank>,<blank>,<blank>,adire,adiːrɛ
tɾansluθiðo,tɹɐ̃ŋzlusidʊ,tʁɑ̃slysid,tʁɑ̃slysid,trazlutʃido,traːnsluːkɪdʊm
<blank>,<blank>,pɛʁkysjɔ̃,pɛʁkysjɔ̃,<blank>,pɛrkʊssɪoːnɛm
omɛnto,<blank>,<blank>,<blank>,omento,oːmɛntʊm
desθendeɾ,dɨseɹ,dɛsɑ̃dʁ,dɛsɑ̃dʁ,diʃɛndere,deːskɛndeːrɛ
inmeɾito,<blank>,<blank>,<blank>,<blank>,ɪmmɛrɪtʊm
aθɛnto,ɐseɪŋtʊ,aksɑ̃,aksɑ̃,atʃʃɛnto,akkɛntʊm
<blank>,dɨzɨɲaɹ,<blank>,<blank>,<blank>,deːsɪŋnaːrɛ
indeklinaβle,iŋdɨklinavɛl,ɛ̃deklinabl,ɛ̃deklinabl,indeklinabile,ɪndeːkliːnaːbɪlɛm
opeɾaɾ,ɔpɨɾaɹ,opeʁe,opeʁe,operare,ɔpɛraːrɛ
uɾto,fuɾətʊ,<blank>,<blank>,furto,fuːrtʊm
apjo,aɪpʊ,<blank>,<blank>,appio,apɪʊm
deteɾminaθjon,dɨtɨɾəminɐsɐ̃ʊ̃,detɛʁminasjɔ̃,detɛʁminasjɔ̃,determinatsione,deːtɛrmɪnaːtɪɔnɛm
wesped,ɔʃpɨdɨ,oːt,oːt,<blank>,hɔspɪtɛm
θesuɾa,sezuɾɐ,sezyʁ,sezyʁ,tʃezura,kaɪsuːram
entʃiɾ,eɪŋʃaɹ,ɑ̃pliʁ,ɑ̃pliʁ,empiɛre,ɪmpleːrɛ
aljɛnto,ɐleɪŋtʊ,<blank>,<blank>,<blank>,anheːlɪtʊm
<blank>,tiniɹ,<blank>,<blank>,<blank>,tɪnniːrɛ
akaðemja,ɐkɐdɨmiɐ,akademi,akademi,akademia,akadɛmɪam
fɾaɣoso,<blank>,<blank>,<blank>,<blank>,fraɡoːsʊm
rexjo,<blank>,<blank>,<blank>,rɛdʒo,reːɡɪʊm
multifoɾme,muwtifɔɾəmɨ,myltifɔʁm,myltifɔʁm,multiforme,mʊltɪfoːrmɛm
raɾo,ʁaɾʊ,ʁaʁ,ʁaʁ,raro,raːrʊm
ɡɾanulo,ɡɹɐ̃nulʊ,ɡʁanyl,ɡʁanyl,ɡranulo,ɡraːnʊlʊm
koroeɾ,kuʁueɹ,koʁode,koʁode,korrɔdere,kɔrroːdeːrɛ
toɾθon,tuɾəsɐ̃ʊ̃,<blank>,<blank>,<blank>,tɔrtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,krudita,kruːdɪtaːtɛm
